user_id,genre_preference,avg_energy,avg_valence,avg_danceability,avg_tempo,sessions_per_month,tier,acquisition_channel,cpa_eur,monthly_revenue_eur,subscription_start,subscription_end,months_active,total_revenue_eur,churned,monthly_churn_prob,cohort_month
U000001,pop,0.84,0.733,0.77,120.0,8,free_trial,Paid Search,29.9,0.0,2023-11-05,2024-01-04,3,0.0,1,0.4125,2023-11
U000002,pop,0.687,0.626,0.755,120.0,11,monthly,Paid Social,21.07,9.99,2024-04-20,,9,89.91,0,0.0446,2024-04
U000003,pop,0.653,0.786,0.763,120.0,11,monthly,Paid Social,21.8,9.99,2023-02-04,,24,239.76,0,0.0446,2023-02
U000004,pop,0.665,0.797,0.804,120.0,8,annual,Paid Search,29.9,7.99,2024-02-23,,11,87.89,0,0.015,2024-02
U000005,pop,0.827,0.668,0.674,120.0,14,monthly,Paid Search,38.86,9.99,2023-01-15,,24,239.76,0,0.0446,2023-01
U000006,pop,0.831,0.618,0.78,120.0,10,monthly,Organic Search,4.16,9.99,2023-08-13,2024-09-06,14,139.86,1,0.0446,2023-08
U000007,pop,0.751,0.563,0.706,120.0,18,free_trial,Organic Search,8.29,0.0,2023-05-03,2023-05-03,1,0.0,1,0.3506,2023-05
U000008,pop,0.744,0.796,0.73,120.0,8,monthly,Paid Search,25.76,9.99,2024-02-07,,11,109.89,0,0.0525,2024-02
U000009,pop,0.789,0.607,0.685,120.0,21,annual,Paid Social,21.86,7.99,2023-07-27,2024-06-21,12,95.88,1,0.009,2023-07
U000010,pop,0.76,0.723,0.78,120.0,9,monthly,Organic Search,3.87,9.99,2024-05-18,,8,79.92,0,0.0525,2024-05
U000011,pop,0.729,0.773,0.776,120.0,15,monthly,Organic Search,7.25,9.99,2024-05-30,2024-05-30,1,9.99,1,0.0446,2024-05
U000012,pop,0.685,0.785,0.841,120.0,18,free_trial,Direct,1.14,0.0,2024-05-11,2024-08-09,4,0.0,1,0.3506,2024-05
U000013,pop,0.688,0.617,0.747,120.0,11,annual,Direct,0.85,7.99,2023-06-04,2024-04-29,12,95.88,1,0.0127,2023-06
U000014,pop,0.689,0.568,0.729,120.0,11,monthly,Paid Social,23.56,9.99,2023-07-09,2023-09-07,3,29.97,1,0.0446,2023-07
U000015,pop,0.815,0.64,0.675,120.0,12,monthly,Referral,6.39,9.99,2023-09-26,2023-11-25,3,29.97,1,0.0446,2023-09
U000016,pop,0.737,0.736,0.7,120.0,8,monthly,Referral,5.84,9.99,2023-02-27,2024-01-23,12,119.88,1,0.0525,2023-02
U000017,pop,0.682,0.58,0.718,120.0,6,monthly,Direct,2.7,9.99,2023-10-16,2023-12-15,3,29.97,1,0.0525,2023-10
U000018,pop,0.827,0.615,0.653,120.0,18,monthly,Referral,4.6,9.99,2023-01-16,2023-03-17,3,29.97,1,0.0446,2023-01
U000019,pop,0.838,0.694,0.728,120.0,13,monthly,Direct,2.44,9.99,2023-02-12,2023-05-13,4,39.96,1,0.0446,2023-02
U000020,pop,0.787,0.568,0.714,120.0,16,annual,Paid Social,17.57,7.99,2023-07-15,,18,143.82,0,0.0127,2023-07
U000021,pop,0.698,0.644,0.757,120.0,12,monthly,Paid Social,16.35,9.99,2024-01-19,,12,119.88,0,0.0446,2024-01
U000022,pop,0.661,0.734,0.759,120.0,11,monthly,Paid Search,26.92,9.99,2023-07-13,2024-12-04,18,179.82,1,0.0446,2023-07
U000023,pop,0.661,0.58,0.674,120.0,14,monthly,Direct,0.55,9.99,2023-04-27,2023-05-27,2,19.98,1,0.0595,2023-04
U000024,pop,0.659,0.773,0.756,120.0,12,monthly,Organic Search,4.31,9.99,2024-01-08,,12,119.88,0,0.0446,2024-01
U000025,pop,0.703,0.64,0.702,120.0,11,monthly,Organic Search,2.97,9.99,2023-09-10,,16,159.84,0,0.0446,2023-09
U000026,pop,0.663,0.559,0.677,120.0,14,annual,Direct,2.68,7.99,2023-01-23,,24,191.76,0,0.017,2023-01
U000027,pop,0.774,0.726,0.693,120.0,7,monthly,Referral,2.82,9.99,2024-03-22,,10,99.9,0,0.0525,2024-03
U000028,pop,0.663,0.561,0.774,120.0,10,monthly,Organic Search,1.92,9.99,2023-04-21,2024-04-15,13,129.87,1,0.0446,2023-04
U000029,pop,0.706,0.594,0.668,120.0,7,monthly,Organic Search,9.93,9.99,2023-03-14,2023-09-10,7,69.93,1,0.0525,2023-03
U000030,pop,0.667,0.699,0.847,120.0,12,monthly,Paid Search,22.18,9.99,2023-03-19,2023-05-18,3,29.97,1,0.0446,2023-03
U000031,pop,0.793,0.774,0.752,120.0,12,monthly,Organic Search,4.38,9.99,2024-04-29,,9,89.91,0,0.0446,2024-04
U000032,pop,0.746,0.696,0.797,120.0,13,monthly,Organic Search,4.19,9.99,2024-06-01,2024-11-28,7,69.93,1,0.0446,2024-06
U000033,pop,0.723,0.672,0.82,120.0,4,monthly,Direct,2.17,9.99,2023-03-16,,22,219.78,0,0.0788,2023-03
U000034,pop,0.717,0.584,0.663,120.0,16,monthly,Paid Search,26.54,9.99,2024-02-23,,11,109.89,0,0.0446,2024-02
